,course_name,instructor,course description,reviews_avg,reviews_count,course_duration,lectures_count,level,price_after_discount,main_price,course_flag,students_count,len descreption,amount of discount
4134,WireMock for Java Developers,Pragmatic Code School,"Learn to build robust RESTFUL API Clients, Service Virtualization in Java and SpringBoot applications using WireMock.",4.6,176,4.5,54,All Levels,269.99,719.99,Bestseller,1135.0,117,450.0
4135,Introduction to R Programming,Prof.  R. Madana Mohana,Basics of R Software,3.9,176,16.5,30,All Levels,229.99,319.99,Normal,3102.0,20,90.0
4136,Master JavaScript Animations with Greensock,Enzo Ustariz,Upgrade your Front-End Skills,4.5,176,2.5,33,Beginner,269.99,449.99,Normal,765.0,29,180.0
4137,Oracle Apex - Web App Development,Vijay Thapa,Build enterprise apps 20 x faster with 100 x less code.,4.3,175,2.0,14,Intermediate,229.99,269.99,Normal,10955.0,55,40.0
4138,Web Site for Beginners - Learn Web Building like knitting,"Ersen Kiremitci, 40 Academy",HTML made easy with real life examples. Learn how to make a web site with html.,3.6,175,1.5,14,Beginner,199.99,229.99,Normal,9459.0,79,30.0
4139,"RxJS - Mastering Observables, Subjects and Operators",Daniel Stern,Learn to leverage observables and asynchronous data streams in this first-class course on RxJS!,3.4,175,2.5,13,Beginner,229.99,479.99,Normal,693.0,95,250.0
4140,Dialogflow Chatbot Essential Training Course for Beginners,Learning Skills Academy,Create complete chatbots from start to finish using Google dialogflow chatbot. Learn to integrate chatbot in websites,4.3,175,2.5,24,All Levels,199.99,229.99,Normal,706.0,117,30.0
4141,"Android Testing: Unit Tests, Hilt, ViewModels and more!","Codestars • over 2 million students worldwide!, Atil Samancioglu","Learn Android Testing with Kotlin: Unit tests, Hilt testing, ViewModel, Fragment, Room, Repos, Test Doubles included!",4.4,175,6.0,27,Intermediate,269.99,1399.99,Normal,938.0,117,1130.0
4142,Introduction to Entity Framework Core 6,Felipe Gavilán,Learn Entity Framework Core from scratch,4.7,175,13.0,170,Beginner,229.99,419.99,Normal,1042.0,40,190.0
4143,Python Crash Course for Data Science and Machine Learning,Idan Gabrieli,Learn the Python fundamentals from scratch and kick-off your practical data science learning path,3.9,175,1.5,15,Beginner,229.99,649.99,Normal,9569.0,97,420.0
4144,Ionic Apps for WooCommerce: Build an eCommerce Mobile App,Samarth Agarwal,"Learn Ionic Framework and start building your own eCommerce app for Android and iOS using HTML, CSS and AngularJS.",4.1,175,4.5,41,All Levels,269.99,719.99,Normal,1393.0,114,450.0
4145,"Create web app with Angular 12, .NET Core Web API & Mongo DB",Vinay Kumar,"learn to create a full stack web application from scratch using Mongo DB, .NET Core Web API and Angular 12",4.0,175,2.5,20,Beginner,199.99,229.99,Normal,17354.0,106,30.0
